#,File,Section,Test,Succ?,Fail?,Sign?,Time?,Unkn?,Line,Signum
0,test_complexe.c,"base","init",,1,,,,22,
1,test_complexe.c,"base","set_reelle",,1,,,,30,
2,test_complexe.c,"base","set_imaginaire",,1,,,,37,
3,test_complexe.c,"base","copie",,1,,,,46,
4,test_complexe.c,"conjugue","conjugue-nominal-1",,1,,,,62,
5,test_complexe.c,"conjugue","conjugue-nominal-2",,1,,,,73,
6,test_complexe.c,"conjugue","conjugue-imag-nul",,1,,,,84,
7,test_complexe.c,"conjugue","conjugue-disp",,1,,,,95,
8,test_complexe.c,"ajouter","ajouter-nominal-1",,1,,,,109,
9,test_complexe.c,"ajouter","ajouter-nominal-2",,1,,,,123,
10,test_complexe.c,"ajouter","ajouter-zero-1",,1,,,,137,
11,test_complexe.c,"ajouter","ajouter-zero-2",,1,,,,151,
12,test_complexe.c,"ajouter","ajouter-disp-1",,1,,,,164,
13,test_complexe.c,"ajouter","ajouter-disp-2",,1,,,,175,
14,test_complexe.c,"soustraire","soustraire-nominal-1",,1,,,,192,
15,test_complexe.c,"soustraire","soustraire-nominal-2",,1,,,,206,
16,test_complexe.c,"soustraire","soustraire-zero-1",,1,,,,220,
17,test_complexe.c,"soustraire","soustraire-zero-2",,1,,,,234,
18,test_complexe.c,"soustraire","soustraire-disp-1",,1,,,,247,
19,test_complexe.c,"soustraire","soustraire-disp-2",,1,,,,258,
20,test_complexe.c,"multiplier","multiplier-nominal-1",,1,,,,275,
21,test_complexe.c,"multiplier","multiplier-nominal-2",,1,,,,289,
22,test_complexe.c,"multiplier","multiplier-nominal-3",,1,,,,303,
23,test_complexe.c,"multiplier","multiplier-reel-1",,1,,,,317,
24,test_complexe.c,"multiplier","multiplier-reel-2",,1,,,,331,
25,test_complexe.c,"multiplier","multiplier-imaginaire-1",,1,,,,345,
26,test_complexe.c,"multiplier","multiplier-imaginaire-2",,1,,,,359,
27,test_complexe.c,"multiplier","multiplier-disp-1",,1,,,,372,
28,test_complexe.c,"multiplier","multiplier-disp-2",,1,,,,383,
29,test_complexe.c,"echelle","echelle-nominal-1",,1,,,,399,
30,test_complexe.c,"echelle","echelle-nominal-2",,1,,,,410,
31,test_complexe.c,"echelle","echelle-0",,1,,,,421,
32,test_complexe.c,"echelle","echelle-disp",,1,,,,431,
33,test_complexe.c,"puissance","puissance-nominal-1",,1,,,,445,
34,test_complexe.c,"puissance","puissance-nominal-2",,1,,,,456,
35,test_complexe.c,"puissance","puissance-0",,1,,,,467,
36,test_complexe.c,"puissance","puissance-1",,1,,,,478,
37,test_complexe.c,"puissance","puissance-disp",,1,,,,488,
38,test_complexe.c,"module","module-carre-nominal-1",,1,,,,501,
39,test_complexe.c,"module","module-carre-nominal-2",,1,,,,508,
40,test_complexe.c,"module","module-carre-0",1,,,,,,
41,test_complexe.c,"module","module-nominal-1",,1,,,,522,
42,test_complexe.c,"module","module-nominal-2",,1,,,,529,
43,test_complexe.c,"module","module-0",1,,,,,,
44,test_complexe.c,"argument","argument-nominal-1",,1,,,,548,
45,test_complexe.c,"argument","argument-nominal-2",,1,,,,555,
46,test_complexe.c,"argument","argument-reel",1,,,,,,
47,test_complexe.c,"argument","argument-reel-negatif",,1,,,,569,
48,test_complexe.c,"argument","argument-imaginaire",,1,,,,576,
